feedbackId,courseId,userId,enrollmentId,overallSatisfaction,contentQuality,instructorEffectiveness,comments,createdAt
TaQVarow,16,158,rQS0kpxX,2,3,1,Very informative.,2024-10-07
OvMsaQPX,13,271,fh9DWDHa,3,1,5,Great course!,2024-10-07
dAQdeiVv,13,297,ZelKutIJ,3,4,5,Could be better.,2024-10-07
bERI005p,7,143,Rh4AZ9uM,4,1,5,Could be better.,2024-10-07
omQJThTb,20,107,RmyjsCVX,1,1,2,Great course!,2024-10-07
fwpJJjSb,13,165,vml9xj0E,5,1,3,Could be better.,2024-10-07
E3Bpf9XW,12,110,9mGXbzXq,2,3,2,Very informative.,2024-10-07
WRDRSSLm,10,41,qN7Vw1Pf,3,4,1,Could be better.,2024-10-07
QZw1GRut,12,264,19ICnhgt,5,1,1,Could be better.,2024-10-07
MEz53xpn,17,36,3bo0bYgo,5,1,2,Could be better.,2024-10-07
ut6oeNMU,2,107,TjemKZtb,5,3,1,Great course!,2024-10-07
LJiooPHe,8,192,BDWRcnuy,2,4,5,Very informative.,2024-10-07
3z3dXPDr,16,109,fqS6E87h,3,2,3,Very informative.,2024-10-07
uge3JIPb,13,287,mnMC8lUS,1,5,4,Could be better.,2024-10-07
jSsAqtW0,17,186,jmRSRy3K,3,5,1,Very informative.,2024-10-07
aUB7Adz7,15,255,ULGhADx0,1,3,3,Could be better.,2024-10-07
mxMTXojh,15,28,4zaaVlTJ,4,1,1,Very informative.,2024-10-07
ds4vEp2p,19,255,fQnxnjlh,1,1,3,Very informative.,2024-10-07
a8Gganev,11,178,6pfsa8Tk,3,4,1,Great course!,2024-10-07
kdqrtKgG,18,80,G4sQfxvW,2,2,4,Could be better.,2024-10-07
k9ipKCHO,20,293,Pxwz3QBT,5,5,5,Could be better.,2024-10-07
eD7ViN46,15,198,iqrpKSij,5,2,4,Great course!,2024-10-07
BLrh7nkv,9,166,guHi9V8M,4,2,1,Great course!,2024-10-07
z9diXLp8,3,70,1Cp32IhU,2,1,4,Very informative.,2024-10-07
fo4LnW7j,19,196,X6sJTUx6,2,2,2,Very informative.,2024-10-07
wyZdwzAB,1,155,oWCMSfLl,4,1,1,Great course!,2024-10-07
hJ5pEpTx,2,246,uOUCxoeI,5,2,4,Great course!,2024-10-07
IpX65tiy,11,291,orhMJTer,4,3,3,Very informative.,2024-10-07
5f5Zm4iT,20,105,jIGPVVaK,3,1,1,Great course!,2024-10-07
EJqYbKn8,8,218,tkoUCGT4,3,3,3,Great course!,2024-10-07
wXfGHKpA,9,155,dYq7vq01,3,3,5,Very informative.,2024-10-07
paBf3SOc,2,41,AoRMVjut,1,5,1,Great course!,2024-10-07
WsM4Q75u,3,231,ZukTUQbN,2,2,4,Great course!,2024-10-07
6Xamxu9D,13,235,nubqDuzq,3,2,4,Great course!,2024-10-07
8s23Tcfk,17,95,enWKE7gU,4,5,4,Very informative.,2024-10-07
qNvjRbmQ,2,273,V7uDNupw,1,4,5,Could be better.,2024-10-07
Jt2RlQQL,17,254,LFEov1uD,5,4,5,Could be better.,2024-10-07
qsrcb7Yl,1,70,ORS4Ma3E,3,2,5,Great course!,2024-10-07
lmJEcVqC,8,178,eqEwqwof,4,1,5,Could be better.,2024-10-07
gSirpX4h,12,93,nzY4qLuL,1,5,4,Great course!,2024-10-07
gCtxufZ3,20,214,VNDtYUCM,1,5,5,Very informative.,2024-10-07
cTJFDnEQ,9,298,zx7YA5RX,1,5,5,Very informative.,2024-10-07
fXY4Uw7D,18,267,eHqCjqcE,3,4,4,Very informative.,2024-10-07
ntDaEwcK,18,136,Ive5TLET,3,1,4,Could be better.,2024-10-07
K8Eh7lRC,18,43,ItfMggv4,5,1,2,Great course!,2024-10-07
eehS9V6s,10,39,XCDx33NA,5,3,3,Great course!,2024-10-07
9Fv3XwR9,16,124,rx3zuKCb,3,2,4,Great course!,2024-10-07
NR7yaSJO,11,101,6tP4Cp8v,3,1,5,Could be better.,2024-10-07
ITdCTUL4,11,194,U53Ivlv1,4,2,3,Very informative.,2024-10-07
rkzbpq94,13,283,91WomRBZ,5,5,1,Could be better.,2024-10-07
0OAOCmk3,7,35,96J3nf2E,5,5,2,Great course!,2024-10-07
fFle44Ox,2,259,FYLuFwKF,5,5,4,Great course!,2024-10-07
lZUu9lcV,18,125,fdjpeGwb,1,2,1,Great course!,2024-10-07
WcoM7o1J,15,244,FL2pshmh,1,1,4,Very informative.,2024-10-07
Y3vtYQxv,12,34,Q3Vcu0wx,5,5,4,Great course!,2024-10-07
wbNmwpGX,12,242,70zccHAg,5,1,2,Could be better.,2024-10-07
q7fbVtty,17,196,goThjU8I,5,4,5,Could be better.,2024-10-07
zN1IdD03,4,76,AY4boFA7,5,1,1,Very informative.,2024-10-07
BJJpDSUm,11,161,tlPcxMhD,1,1,4,Could be better.,2024-10-07
KgQ1CsmU,13,254,1s9SFJw4,5,1,1,Great course!,2024-10-07
C2ykdny7,13,187,qp270XDP,3,3,4,Very informative.,2024-10-07
ScI50i0S,11,31,TzKYcYmg,3,3,4,Great course!,2024-10-07
dPTfD421,19,20,2QDOVTt5,2,4,2,Very informative.,2024-10-07
3zkjK3pV,6,290,pOh35SSp,4,5,2,Could be better.,2024-10-07
6g4OsrjC,11,142,dOg365Sg,4,5,5,Could be better.,2024-10-07
dpLFBH4b,3,276,UjFypMSE,2,2,5,Very informative.,2024-10-07
Uapwkw1s,7,280,LSm11P22,3,4,2,Great course!,2024-10-07
zx5nCnen,6,287,2s7aAndx,2,1,5,Very informative.,2024-10-07
rAW3TdBf,10,72,MU2pm2sF,3,3,2,Very informative.,2024-10-07
nJhYOBUq,19,60,Opz880iU,5,2,1,Very informative.,2024-10-07
W8uGvT4S,1,185,5HC2CB2Z,1,2,3,Very informative.,2024-10-07
FVA8Ll6C,16,8,JY36gxSp,4,3,4,Great course!,2024-10-07
dUI4ZdnP,17,244,39n39eON,4,5,5,Great course!,2024-10-07
jyTJXXIZ,6,234,XtiKmjyd,2,4,3,Could be better.,2024-10-07
NAc614I0,11,22,wXT6jYbc,1,2,1,Great course!,2024-10-07
0TQmq5ej,3,271,nYRIKv5X,3,4,1,Great course!,2024-10-07
ouh9GYkR,12,218,b62pKfoP,5,1,1,Very informative.,2024-10-07
BWsHD6Fn,10,138,6HohqQy2,5,5,1,Could be better.,2024-10-07
JxbqbVvb,14,99,gAgAYlN1,2,2,5,Very informative.,2024-10-07
YAVsQiMy,19,180,lI1bWvdq,5,3,2,Could be better.,2024-10-07
wbTv4P9O,2,128,1p9arZAJ,2,3,1,Could be better.,2024-10-07
