quizId,userId,courseId,enrollmentId,totalScore,obtainedScore,date
geZDcEVf,130,13,3AStlgcU,100,72,2024-10-07
uKsA0JGS,172,18,E2UsVdTq,100,15,2024-10-07
6UmT7Imw,246,20,tmdGzFZb,100,26,2024-10-07
K0oGn9b4,135,12,Gs0zOMyg,100,16,2024-10-07
GwaNiBIx,126,17,N8sqpKOE,100,87,2024-10-07
NBrIlUtw,85,7,xpWP3h5H,100,67,2024-10-07
BUe1J8Nr,165,13,vml9xj0E,100,24,2024-10-07
eGMy4HCA,240,15,9Gkqcrwr,100,7,2024-10-07
1WBDi13H,41,10,qN7Vw1Pf,100,20,2024-10-07
AYDY3Hgd,192,8,BDWRcnuy,100,71,2024-10-07
SsxwrBbo,92,8,6cFVAYZZ,100,71,2024-10-07
iJ1f1rcz,255,15,ULGhADx0,100,63,2024-10-07
vdu9iPxd,28,15,4zaaVlTJ,100,45,2024-10-07
mJ8izKKn,178,11,6pfsa8Tk,100,29,2024-10-07
B61mZcdJ,167,14,Vxmn2v2T,100,89,2024-10-07
Gdg7CMuw,80,18,G4sQfxvW,100,15,2024-10-07
p6SUI4it,136,19,2KVGmG1d,100,54,2024-10-07
RcZqNYMj,184,15,JNJapjkf,100,82,2024-10-07
YS5O594X,198,15,iqrpKSij,100,11,2024-10-07
ypuG9E52,166,9,guHi9V8M,100,17,2024-10-07
HpZoi4e4,70,3,1Cp32IhU,100,76,2024-10-07
4Qt44cPp,237,16,M2EWH1It,100,33,2024-10-07
KktxEPHn,155,1,oWCMSfLl,100,96,2024-10-07
Tuo9HamC,246,2,uOUCxoeI,100,86,2024-10-07
Kfb2E13W,291,11,orhMJTer,100,73,2024-10-07
1UO2JKBV,105,20,jIGPVVaK,100,32,2024-10-07
NYJqQxfa,218,8,tkoUCGT4,100,25,2024-10-07
DwmC6ccg,128,11,R7TOURoe,100,61,2024-10-07
xBdOmnSX,41,2,AoRMVjut,100,39,2024-10-07
OEBMMoLL,95,17,enWKE7gU,100,67,2024-10-07
