commentId,userId,enrollmentId,courseId,content,createdAt
iUESyDUX,158,rQS0kpxX,16,I didn't like it.,2024-10-07T15:07:42.738926
WBuCjKpE,130,3AStlgcU,13,It was okay.,2024-10-07T15:07:42.739930
b6BtFazt,172,E2UsVdTq,18,I didn't like it.,2024-10-07T15:07:42.739930
t85h8iFH,271,fh9DWDHa,13,It was okay.,2024-10-07T15:07:42.739930
hBoMEwLn,246,tmdGzFZb,20,It was okay.,2024-10-07T15:07:42.739930
DpVhNOWl,135,Gs0zOMyg,12,I didn't like it.,2024-10-07T15:07:42.739930
zJH6P5Sq,126,N8sqpKOE,17,I didn't like it.,2024-10-07T15:07:42.739930
MYUSj7cP,85,xpWP3h5H,7,I loved this course!,2024-10-07T15:07:42.739930
1LEN3bXM,143,Rh4AZ9uM,7,I didn't like it.,2024-10-07T15:07:42.739930
HtzdB06c,107,RmyjsCVX,20,It was okay.,2024-10-07T15:07:42.739930
mJLcwED0,240,9Gkqcrwr,15,It was okay.,2024-10-07T15:07:42.739930
0FmW6mX8,264,19ICnhgt,12,I loved this course!,2024-10-07T15:07:42.739930
Ci5z0JMV,296,Cjvnp9zv,9,It was okay.,2024-10-07T15:07:42.739930
9GhVRbot,36,3bo0bYgo,17,I didn't like it.,2024-10-07T15:07:42.739930
ShHF1cw6,107,TjemKZtb,2,I loved this course!,2024-10-07T15:07:42.739930
LE0E9Tck,97,WUG8sGnV,11,I didn't like it.,2024-10-07T15:07:42.739930
ewYhFFrz,92,6cFVAYZZ,8,I loved this course!,2024-10-07T15:07:42.739930
5ZHW8brW,13,j1MOiQtL,8,It was okay.,2024-10-07T15:07:42.739930
iAnY18nK,186,jmRSRy3K,17,I loved this course!,2024-10-07T15:07:42.739930
7GbOgYAG,20,CwhwAsxq,5,I didn't like it.,2024-10-07T15:07:42.739930
5jY0Va7Y,255,ULGhADx0,15,I didn't like it.,2024-10-07T15:07:42.739930
FM8E2w0p,190,ByYnmrfV,5,I didn't like it.,2024-10-07T15:07:42.739930
sgLVDK1g,255,fQnxnjlh,19,I loved this course!,2024-10-07T15:07:42.739930
oxrqyYcA,178,6pfsa8Tk,11,I didn't like it.,2024-10-07T15:07:42.739930
zuduu9eB,136,2KVGmG1d,19,I loved this course!,2024-10-07T15:07:42.740932
HSG3bk7g,184,JNJapjkf,15,I didn't like it.,2024-10-07T15:07:42.740932
3D8GT4gE,198,iqrpKSij,15,I loved this course!,2024-10-07T15:07:42.740932
hW95U0RM,166,guHi9V8M,9,I didn't like it.,2024-10-07T15:07:42.740932
