enrollmentId,userId,courseId,enrolledAt,progress,completed,totalCount,completedCount,isQuizTaken,isParticipated,isFeedback
rQS0kpxX,158,16,2024-10-07T15:07:42.738926,71,False,9,8,False,True,True
3AStlgcU,130,13,2024-10-07T15:07:42.738926,76,False,9,7,True,True,False
E2UsVdTq,172,18,2024-10-07T15:07:42.739930,14,False,10,8,True,True,False
fh9DWDHa,271,13,2024-10-07T15:07:42.739930,60,False,11,10,False,True,True
tmdGzFZb,246,20,2024-10-07T15:07:42.739930,30,False,17,4,True,True,False
JXOgeRSC,133,7,2024-10-07T15:07:42.739930,53,False,7,5,False,False,False
ZelKutIJ,297,13,2024-10-07T15:07:42.739930,16,False,11,1,False,False,True
MjVxsjJT,203,20,2024-10-07T15:07:42.739930,76,False,13,1,False,False,False
Gs0zOMyg,135,12,2024-10-07T15:07:42.739930,11,False,20,17,True,True,False
9QSHBxnK,246,8,2024-10-07T15:07:42.739930,14,False,12,10,False,False,False
N8sqpKOE,126,17,2024-10-07T15:07:42.739930,84,False,8,6,True,True,False
xpWP3h5H,85,7,2024-10-07T15:07:42.739930,63,False,20,16,True,True,False
YA9AAvgy,111,18,2024-10-07T15:07:42.739930,74,False,8,6,False,False,False
Rh4AZ9uM,143,7,2024-10-07T15:07:42.739930,62,False,16,2,False,True,True
RmyjsCVX,107,20,2024-10-07T15:07:42.739930,87,False,16,6,False,True,True
vml9xj0E,165,13,2024-10-07T15:07:42.739930,22,False,6,2,True,False,True
WD8qP7Xv,79,14,2024-10-07T15:07:42.739930,4,False,5,1,False,False,False
9Gkqcrwr,240,15,2024-10-07T15:07:42.739930,2,False,6,5,True,True,False
9mGXbzXq,110,12,2024-10-07T15:07:42.739930,85,False,16,15,False,False,True
kqSlrt1x,112,12,2024-10-07T15:07:42.739930,99,False,15,12,False,False,False
qN7Vw1Pf,41,10,2024-10-07T15:07:42.739930,24,False,5,2,True,False,True
19ICnhgt,264,12,2024-10-07T15:07:42.739930,60,False,10,0,False,True,True
3gYtfW4O,16,8,2024-10-07T15:07:42.739930,88,False,17,12,False,False,False
Cjvnp9zv,296,9,2024-10-07T15:07:42.739930,82,False,18,10,False,True,False
3bo0bYgo,36,17,2024-10-07T15:07:42.739930,2,False,13,8,False,True,True
5d6i44YQ,281,3,2024-10-07T15:07:42.739930,78,False,16,9,False,False,False
TjemKZtb,107,2,2024-10-07T15:07:42.739930,44,False,12,7,False,True,True
WUG8sGnV,97,11,2024-10-07T15:07:42.739930,62,False,8,7,False,True,False
BDWRcnuy,192,8,2024-10-07T15:07:42.739930,68,False,17,9,True,False,True
O8cYGtMp,155,6,2024-10-07T15:07:42.739930,98,False,17,8,False,False,False
6cFVAYZZ,92,8,2024-10-07T15:07:42.739930,72,False,5,4,True,True,False
iizdD8tV,262,9,2024-10-07T15:07:42.739930,62,False,14,8,False,False,False
fqS6E87h,109,16,2024-10-07T15:07:42.739930,46,False,10,4,False,False,True
IIfnfrcA,71,12,2024-10-07T15:07:42.739930,27,False,16,14,False,False,False
mnMC8lUS,287,13,2024-10-07T15:07:42.739930,10,False,9,2,False,False,True
j1MOiQtL,13,8,2024-10-07T15:07:42.739930,91,False,15,0,False,True,False
jmRSRy3K,186,17,2024-10-07T15:07:42.739930,74,False,17,1,False,True,True
CwhwAsxq,20,5,2024-10-07T15:07:42.739930,53,False,10,3,False,True,False
ULGhADx0,255,15,2024-10-07T15:07:42.739930,61,False,5,0,True,True,True
ByYnmrfV,190,5,2024-10-07T15:07:42.739930,81,False,14,5,False,True,False
4zaaVlTJ,28,15,2024-10-07T15:07:42.739930,41,False,7,0,True,False,True
4BLnY9UO,98,8,2024-10-07T15:07:42.739930,5,False,8,7,False,False,False
fQnxnjlh,255,19,2024-10-07T15:07:42.739930,81,False,5,1,False,True,True
6pfsa8Tk,178,11,2024-10-07T15:07:42.739930,25,False,9,2,True,True,True
Vxmn2v2T,167,14,2024-10-07T15:07:42.740932,90,False,8,3,True,False,False
G4sQfxvW,80,18,2024-10-07T15:07:42.740932,17,False,16,14,True,False,True
Pxwz3QBT,293,20,2024-10-07T15:07:42.740932,0,False,5,2,False,False,True
2KVGmG1d,136,19,2024-10-07T15:07:42.740932,49,False,11,4,True,True,False
JNJapjkf,184,15,2024-10-07T15:07:42.740932,86,False,17,8,True,True,False
TIqiBoBH,168,8,2024-10-07T15:07:42.740932,88,False,17,15,False,False,False
iqrpKSij,198,15,2024-10-07T15:07:42.740932,6,False,13,0,True,True,True
guHi9V8M,166,9,2024-10-07T15:07:42.740932,20,False,6,4,True,True,True
1Cp32IhU,70,3,2024-10-07T15:07:42.740932,80,False,19,17,True,True,True
M2EWH1It,237,16,2024-10-07T15:07:42.740932,30,False,10,6,True,True,False
X6sJTUx6,196,19,2024-10-07T15:07:42.740932,64,False,19,0,False,False,True
oWCMSfLl,155,1,2024-10-07T15:07:42.740932,94,False,16,0,True,True,True
uOUCxoeI,246,2,2024-10-07T15:07:42.740932,84,False,12,9,True,True,True
orhMJTer,291,11,2024-10-07T15:07:42.740932,68,False,7,1,True,False,True
jIGPVVaK,105,20,2024-10-07T15:07:42.740932,30,False,9,1,True,True,True
tkoUCGT4,218,8,2024-10-07T15:07:42.740932,30,False,20,5,True,True,True
R7TOURoe,128,11,2024-10-07T15:07:42.740932,65,False,15,0,True,True,False
cYHswH4x,217,4,2024-10-07T15:07:42.740932,93,False,19,17,False,False,False
dYq7vq01,155,9,2024-10-07T15:07:42.740932,55,False,5,2,False,True,True
RLpjoQ2M,1,17,2024-10-07T15:07:42.740932,35,False,5,2,False,False,False
AoRMVjut,41,2,2024-10-07T15:07:42.740932,41,False,6,3,True,True,True
ZukTUQbN,231,3,2024-10-07T15:07:42.740932,44,False,20,10,False,False,True
nubqDuzq,235,13,2024-10-07T15:07:42.740932,68,False,20,12,False,False,True
enWKE7gU,95,17,2024-10-07T15:07:42.740932,70,False,10,6,True,True,True
iZBXeYKH,25,20,2024-10-07T15:07:42.740932,83,False,6,0,True,False,False
V7uDNupw,273,2,2024-10-07T15:07:42.740932,70,False,16,9,False,True,True
LFEov1uD,254,17,2024-10-07T15:07:42.740932,20,False,17,3,True,True,True
ORS4Ma3E,70,1,2024-10-07T15:07:42.740932,45,False,19,11,True,True,True
xIEMYA9I,221,6,2024-10-07T15:07:42.740932,28,False,7,4,True,True,False
iCmSvUxY,151,9,2024-10-07T15:07:42.740932,79,False,12,6,False,False,False
qUwnb5rQ,40,10,2024-10-07T15:07:42.740932,75,False,13,12,True,True,False
dpUUH9jL,237,6,2024-10-07T15:07:42.740932,43,False,12,4,True,False,False
eqEwqwof,178,8,2024-10-07T15:07:42.740932,41,False,13,11,True,False,True
3jrlA38U,71,4,2024-10-07T15:07:42.740932,92,False,13,3,True,False,False
nzY4qLuL,93,12,2024-10-07T15:07:42.740932,17,False,8,0,True,True,True
VNDtYUCM,214,20,2024-10-07T15:07:42.740932,24,False,13,4,False,False,True
zx7YA5RX,298,9,2024-10-07T15:07:42.740932,6,False,5,0,True,False,True
eHqCjqcE,267,18,2024-10-07T15:07:42.740932,33,False,8,1,True,False,True
sZJ21OEv,193,20,2024-10-07T15:07:42.740932,12,False,10,3,False,False,False
Ive5TLET,136,18,2024-10-07T15:07:42.740932,28,False,10,1,False,False,True
ItfMggv4,43,18,2024-10-07T15:07:42.741930,90,False,10,3,True,False,True
9IpuOkTT,244,11,2024-10-07T15:07:42.741930,27,False,11,2,False,False,False
XCDx33NA,39,10,2024-10-07T15:07:42.741930,98,False,6,1,True,True,True
qgysCupc,266,3,2024-10-07T15:07:42.741930,41,False,20,16,False,False,False
hLoZlkIU,153,7,2024-10-07T15:07:42.741930,45,False,15,12,True,True,False
rx3zuKCb,124,16,2024-10-07T15:07:42.741930,83,False,17,5,True,False,True
n8cTROOT,288,1,2024-10-07T15:07:42.741930,91,False,9,0,True,True,False
RKOhS4Yq,14,7,2024-10-07T15:07:42.741930,3,False,13,12,True,True,False
auMaT1uW,13,17,2024-10-07T15:07:42.741930,53,False,5,2,True,False,False
6tP4Cp8v,101,11,2024-10-07T15:07:42.741930,46,False,5,4,False,True,True
Um1r6wNc,28,6,2024-10-07T15:07:42.741930,62,False,7,4,False,True,False
UTw2BgnR,25,1,2024-10-07T15:07:42.741930,3,False,18,1,True,False,False
U53Ivlv1,194,11,2024-10-07T15:07:42.741930,3,False,19,7,True,False,True
FUtYaicV,200,18,2024-10-07T15:07:42.741930,47,False,17,0,False,False,False
91WomRBZ,283,13,2024-10-07T15:07:42.741930,87,False,11,5,True,False,True
96J3nf2E,35,7,2024-10-07T15:07:42.741930,92,False,6,0,False,False,True
lTPkFMAi,28,1,2024-10-07T15:07:42.741930,70,False,20,9,True,True,False
p5nCHboI,234,18,2024-10-07T15:07:42.741930,9,False,12,0,True,False,False
FYLuFwKF,259,2,2024-10-07T15:07:42.741930,45,False,6,1,False,True,True
mZ8Cc4vC,98,7,2024-10-07T15:07:42.741930,92,False,8,6,False,False,False
gGovRCIL,121,8,2024-10-07T15:07:42.741930,59,False,20,16,False,False,False
fdjpeGwb,125,18,2024-10-07T15:07:42.741930,8,False,16,10,False,True,True
FL2pshmh,244,15,2024-10-07T15:07:42.741930,74,False,13,0,False,False,True
Q3Vcu0wx,34,12,2024-10-07T15:07:42.741930,2,False,8,4,True,False,True
5QW37WDM,224,17,2024-10-07T15:07:42.741930,16,False,13,0,False,False,False
70zccHAg,242,12,2024-10-07T15:07:42.741930,60,False,19,15,False,True,True
INMyjjby,78,15,2024-10-07T15:07:42.741930,45,False,12,8,False,False,False
goThjU8I,196,17,2024-10-07T15:07:42.741930,57,False,19,11,False,True,True
PLPBqBs9,14,6,2024-10-07T15:07:42.741930,4,False,7,3,True,False,False
AY4boFA7,76,4,2024-10-07T15:07:42.741930,55,False,19,12,False,False,True
tlPcxMhD,161,11,2024-10-07T15:07:42.741930,84,False,15,10,False,True,True
bWtmAjMv,193,4,2024-10-07T15:07:42.741930,94,False,16,6,True,False,False
ETEZ02BB,115,7,2024-10-07T15:07:42.741930,6,False,20,18,False,True,False
W8AZBWHG,118,8,2024-10-07T15:07:42.741930,98,False,8,3,False,True,False
1s9SFJw4,254,13,2024-10-07T15:07:42.741930,12,False,9,8,False,False,True
LN5GbP1c,170,13,2024-10-07T15:07:42.741930,81,False,18,16,True,True,False
qp270XDP,187,13,2024-10-07T15:07:42.741930,5,False,19,1,False,True,True
wInUjIF5,18,1,2024-10-07T15:07:42.741930,97,False,20,18,False,False,False
c7iSRHre,106,1,2024-10-07T15:07:42.741930,98,False,14,0,True,False,False
0OMKjNvN,184,10,2024-10-07T15:07:42.741930,93,False,13,11,True,True,False
TzKYcYmg,31,11,2024-10-07T15:07:42.741930,78,False,12,5,False,True,True
zgXBId57,292,1,2024-10-07T15:07:42.741930,21,False,13,2,True,True,False
Fxi6WBaC,151,15,2024-10-07T15:07:42.741930,29,False,20,13,False,True,False
2jY3lT5p,75,11,2024-10-07T15:07:42.741930,72,False,11,1,False,False,False
2QDOVTt5,20,19,2024-10-07T15:07:42.741930,15,False,19,7,False,True,True
pOh35SSp,290,6,2024-10-07T15:07:42.742969,48,False,6,4,True,False,True
dOg365Sg,142,11,2024-10-07T15:07:42.742969,44,False,11,6,True,False,True
cP9MCYQk,224,7,2024-10-07T15:07:42.742969,4,False,14,1,True,False,False
c8NKHgKE,264,9,2024-10-07T15:07:42.742969,45,False,12,10,False,True,False
CJCrmagG,293,8,2024-10-07T15:07:42.742969,82,False,8,5,True,True,False
zxxQzJqg,194,17,2024-10-07T15:07:42.742969,55,False,6,5,True,False,False
UjFypMSE,276,3,2024-10-07T15:07:42.742969,30,False,17,4,True,True,True
d098OEhv,203,8,2024-10-07T15:07:42.742969,46,False,6,5,True,False,False
LSm11P22,280,7,2024-10-07T15:07:42.742969,46,False,6,4,True,False,True
81INQoKZ,184,3,2024-10-07T15:07:42.742969,39,False,11,5,True,True,False
ZicwROUN,225,20,2024-10-07T15:07:42.742969,87,False,13,10,False,False,False
2s7aAndx,287,6,2024-10-07T15:07:42.742969,15,False,5,2,False,False,True
l5vOBTDc,130,11,2024-10-07T15:07:42.742969,10,False,18,8,True,False,False
pAGU8I04,295,17,2024-10-07T15:07:42.742969,6,False,14,4,False,False,False
MU2pm2sF,72,10,2024-10-07T15:07:42.742969,1,False,19,17,False,False,True
Opz880iU,60,19,2024-10-07T15:07:42.742969,1,False,15,13,True,True,True
X5IyULe8,212,15,2024-10-07T15:07:42.742969,44,False,17,5,False,True,False
uarbjfSf,69,10,2024-10-07T15:07:42.742969,13,False,14,0,True,True,False
5HC2CB2Z,185,1,2024-10-07T15:07:42.742969,84,False,12,6,False,False,True
ZhaiIUmE,14,1,2024-10-07T15:07:42.742969,92,False,12,6,False,True,False
W7xnpeo4,299,12,2024-10-07T15:07:42.742969,77,False,11,8,False,False,False
JY36gxSp,8,16,2024-10-07T15:07:42.742969,9,False,9,0,True,False,True
39n39eON,244,17,2024-10-07T15:07:42.742969,70,False,16,15,True,True,True
JedbmX76,72,15,2024-10-07T15:07:42.742969,58,False,13,3,False,False,False
XtiKmjyd,234,6,2024-10-07T15:07:42.742969,39,False,17,8,True,True,True
wXT6jYbc,22,11,2024-10-07T15:07:42.742969,21,False,19,16,False,True,True
nYRIKv5X,271,3,2024-10-07T15:07:42.742969,24,False,10,7,True,False,True
b62pKfoP,218,12,2024-10-07T15:07:42.742969,78,False,5,0,True,False,True
6HohqQy2,138,10,2024-10-07T15:07:42.742969,46,False,11,4,False,True,True
GUwaUmrj,212,19,2024-10-07T15:07:42.742969,0,False,17,7,False,True,False
gAgAYlN1,99,14,2024-10-07T15:07:42.742969,92,False,19,8,True,False,True
TI81MeVl,118,18,2024-10-07T15:07:42.742969,42,False,17,2,False,False,False
lI1bWvdq,180,19,2024-10-07T15:07:42.742969,43,False,6,4,False,False,True
1p9arZAJ,128,2,2024-10-07T15:07:42.742969,98,False,15,13,False,True,True
RZ7cihJx,105,7,2024-10-07T15:07:42.742969,0,False,10,8,True,True,True
lsQcksHZ,67,15,2024-10-07T15:07:42.742969,6,False,20,5,False,False,False
k6r2vkTu,293,19,2024-10-07T15:07:42.742969,62,False,11,4,True,False,True
ASvK7fCz,196,7,2024-10-07T15:07:42.742969,42,False,6,4,False,False,True
Kxm71aPo,263,1,2024-10-07T15:07:42.742969,97,False,14,10,True,False,False
X4WGuGe4,96,3,2024-10-07T15:07:42.742969,15,False,8,1,True,False,True
PQIxGyXd,211,18,2024-10-07T15:07:42.742969,48,False,15,4,True,True,False
caWcxDBs,116,13,2024-10-07T15:07:42.742969,79,False,14,3,False,True,True
WGQnQqW3,161,8,2024-10-07T15:07:42.743967,87,False,14,9,True,True,True
pLSIbDMp,96,8,2024-10-07T15:07:42.743967,85,False,6,1,False,True,False
351k7x8P,152,17,2024-10-07T15:07:42.743967,16,False,14,1,False,False,False
flWoeMDN,9,2,2024-10-07T15:07:42.743967,17,False,14,5,False,True,True
FVHrgS9t,108,3,2024-10-07T15:07:42.743967,71,False,20,11,True,True,False
wgtz0MxL,275,14,2024-10-07T15:07:42.743967,38,False,5,2,False,False,False
JxWHzqff,248,11,2024-10-07T15:07:42.743967,8,False,14,9,True,True,True
KuBWisDH,16,4,2024-10-07T15:07:42.743967,18,False,18,15,False,True,True
Xt1hrtxS,54,19,2024-10-07T15:07:42.743967,30,False,20,18,True,False,True
HbcNU0sR,127,5,2024-10-07T15:07:42.743967,54,False,11,8,True,True,True
Ujf78cHa,93,9,2024-10-07T15:07:42.743967,3,False,16,13,True,False,True
wtFdH1Nb,218,11,2024-10-07T15:07:42.743967,58,False,6,2,False,False,False
5WHdYQhO,216,14,2024-10-07T15:07:42.743967,32,False,7,2,True,False,False
lBCK3yIy,250,4,2024-10-07T15:07:42.743967,43,False,10,3,True,True,True
3H1cH5Ad,53,9,2024-10-07T15:07:42.743967,33,False,5,0,True,False,False
Lr3VtCv4,218,14,2024-10-07T15:07:42.743967,97,False,12,2,False,True,False
oFSVyrnz,235,16,2024-10-07T15:07:42.743967,88,False,13,11,True,False,False
58hBrhaw,237,20,2024-10-07T15:07:42.743967,50,False,14,8,False,True,True
IbSq8LYM,129,4,2024-10-07T15:07:42.743967,34,False,8,3,True,True,True
OC1YAALa,103,2,2024-10-07T15:07:42.743967,31,False,11,2,True,True,False
VJxdwMSU,122,2,2024-10-07T15:07:42.743967,29,False,7,6,True,True,True
8pli7rbl,257,14,2024-10-07T15:07:42.743967,19,False,7,4,False,True,False
sjTmxTPF,227,2,2024-10-07T15:07:42.743967,15,False,10,2,False,True,False
VoX521Jk,104,9,2024-10-07T15:07:42.743967,92,False,10,9,True,False,True
