feedbackId,courseId,userId,enrollmentId,overallSatisfaction,contentQuality,instructorEffectiveness,comments,createdAt
TaQVarow,16,158,rQS0kpxX,2,3,1,Very informative.,2024-10-07T15:07:42.738926
OvMsaQPX,13,271,fh9DWDHa,3,1,5,Great course!,2024-10-07T15:07:42.739930
dAQdeiVv,13,297,ZelKutIJ,3,4,5,Could be better.,2024-10-07T15:07:42.739930
bERI005p,7,143,Rh4AZ9uM,4,1,5,Could be better.,2024-10-07T15:07:42.739930
omQJThTb,20,107,RmyjsCVX,1,1,2,Great course!,2024-10-07T15:07:42.739930
fwpJJjSb,13,165,vml9xj0E,5,1,3,Could be better.,2024-10-07T15:07:42.739930
E3Bpf9XW,12,110,9mGXbzXq,2,3,2,Very informative.,2024-10-07T15:07:42.739930
WRDRSSLm,10,41,qN7Vw1Pf,3,4,1,Could be better.,2024-10-07T15:07:42.739930
QZw1GRut,12,264,19ICnhgt,5,1,1,Could be better.,2024-10-07T15:07:42.739930
MEz53xpn,17,36,3bo0bYgo,5,1,2,Could be better.,2024-10-07T15:07:42.739930
ut6oeNMU,2,107,TjemKZtb,5,3,1,Great course!,2024-10-07T15:07:42.739930
LJiooPHe,8,192,BDWRcnuy,2,4,5,Very informative.,2024-10-07T15:07:42.739930
3z3dXPDr,16,109,fqS6E87h,3,2,3,Very informative.,2024-10-07T15:07:42.739930
uge3JIPb,13,287,mnMC8lUS,1,5,4,Could be better.,2024-10-07T15:07:42.739930
jSsAqtW0,17,186,jmRSRy3K,3,5,1,Very informative.,2024-10-07T15:07:42.739930
aUB7Adz7,15,255,ULGhADx0,1,3,3,Could be better.,2024-10-07T15:07:42.739930
mxMTXojh,15,28,4zaaVlTJ,4,1,1,Very informative.,2024-10-07T15:07:42.739930
ds4vEp2p,19,255,fQnxnjlh,1,1,3,Very informative.,2024-10-07T15:07:42.739930
a8Gganev,11,178,6pfsa8Tk,3,4,1,Great course!,2024-10-07T15:07:42.739930
kdqrtKgG,18,80,G4sQfxvW,2,2,4,Could be better.,2024-10-07T15:07:42.740932
k9ipKCHO,20,293,Pxwz3QBT,5,5,5,Could be better.,2024-10-07T15:07:42.740932
eD7ViN46,15,198,iqrpKSij,5,2,4,Great course!,2024-10-07T15:07:42.740932
BLrh7nkv,9,166,guHi9V8M,4,2,1,Great course!,2024-10-07T15:07:42.740932
z9diXLp8,3,70,1Cp32IhU,2,1,4,Very informative.,2024-10-07T15:07:42.740932
fo4LnW7j,19,196,X6sJTUx6,2,2,2,Very informative.,2024-10-07T15:07:42.740932
wyZdwzAB,1,155,oWCMSfLl,4,1,1,Great course!,2024-10-07T15:07:42.740932
hJ5pEpTx,2,246,uOUCxoeI,5,2,4,Great course!,2024-10-07T15:07:42.740932
IpX65tiy,11,291,orhMJTer,4,3,3,Very informative.,2024-10-07T15:07:42.740932
5f5Zm4iT,20,105,jIGPVVaK,3,1,1,Great course!,2024-10-07T15:07:42.740932
EJqYbKn8,8,218,tkoUCGT4,3,3,3,Great course!,2024-10-07T15:07:42.740932
wXfGHKpA,9,155,dYq7vq01,3,3,5,Very informative.,2024-10-07T15:07:42.740932
paBf3SOc,2,41,AoRMVjut,1,5,1,Great course!,2024-10-07T15:07:42.740932
WsM4Q75u,3,231,ZukTUQbN,2,2,4,Great course!,2024-10-07T15:07:42.740932
6Xamxu9D,13,235,nubqDuzq,3,2,4,Great course!,2024-10-07T15:07:42.740932
8s23Tcfk,17,95,enWKE7gU,4,5,4,Very informative.,2024-10-07T15:07:42.740932
qNvjRbmQ,2,273,V7uDNupw,1,4,5,Could be better.,2024-10-07T15:07:42.740932
Jt2RlQQL,17,254,LFEov1uD,5,4,5,Could be better.,2024-10-07T15:07:42.740932
qsrcb7Yl,1,70,ORS4Ma3E,3,2,5,Great course!,2024-10-07T15:07:42.740932
lmJEcVqC,8,178,eqEwqwof,4,1,5,Could be better.,2024-10-07T15:07:42.740932
gSirpX4h,12,93,nzY4qLuL,1,5,4,Great course!,2024-10-07T15:07:42.740932
gCtxufZ3,20,214,VNDtYUCM,1,5,5,Very informative.,2024-10-07T15:07:42.740932
cTJFDnEQ,9,298,zx7YA5RX,1,5,5,Very informative.,2024-10-07T15:07:42.740932
fXY4Uw7D,18,267,eHqCjqcE,3,4,4,Very informative.,2024-10-07T15:07:42.740932
ntDaEwcK,18,136,Ive5TLET,3,1,4,Could be better.,2024-10-07T15:07:42.741930
K8Eh7lRC,18,43,ItfMggv4,5,1,2,Great course!,2024-10-07T15:07:42.741930
eehS9V6s,10,39,XCDx33NA,5,3,3,Great course!,2024-10-07T15:07:42.741930
9Fv3XwR9,16,124,rx3zuKCb,3,2,4,Great course!,2024-10-07T15:07:42.741930
NR7yaSJO,11,101,6tP4Cp8v,3,1,5,Could be better.,2024-10-07T15:07:42.741930
ITdCTUL4,11,194,U53Ivlv1,4,2,3,Very informative.,2024-10-07T15:07:42.741930
rkzbpq94,13,283,91WomRBZ,5,5,1,Could be better.,2024-10-07T15:07:42.741930
0OAOCmk3,7,35,96J3nf2E,5,5,2,Great course!,2024-10-07T15:07:42.741930
fFle44Ox,2,259,FYLuFwKF,5,5,4,Great course!,2024-10-07T15:07:42.741930
lZUu9lcV,18,125,fdjpeGwb,1,2,1,Great course!,2024-10-07T15:07:42.741930
WcoM7o1J,15,244,FL2pshmh,1,1,4,Very informative.,2024-10-07T15:07:42.741930
Y3vtYQxv,12,34,Q3Vcu0wx,5,5,4,Great course!,2024-10-07T15:07:42.741930
wbNmwpGX,12,242,70zccHAg,5,1,2,Could be better.,2024-10-07T15:07:42.741930
q7fbVtty,17,196,goThjU8I,5,4,5,Could be better.,2024-10-07T15:07:42.741930
zN1IdD03,4,76,AY4boFA7,5,1,1,Very informative.,2024-10-07T15:07:42.741930
BJJpDSUm,11,161,tlPcxMhD,1,1,4,Could be better.,2024-10-07T15:07:42.741930
KgQ1CsmU,13,254,1s9SFJw4,5,1,1,Great course!,2024-10-07T15:07:42.741930
C2ykdny7,13,187,qp270XDP,3,3,4,Very informative.,2024-10-07T15:07:42.741930
ScI50i0S,11,31,TzKYcYmg,3,3,4,Great course!,2024-10-07T15:07:42.741930
dPTfD421,19,20,2QDOVTt5,2,4,2,Very informative.,2024-10-07T15:07:42.742969
3zkjK3pV,6,290,pOh35SSp,4,5,2,Could be better.,2024-10-07T15:07:42.742969
6g4OsrjC,11,142,dOg365Sg,4,5,5,Could be better.,2024-10-07T15:07:42.742969
dpLFBH4b,3,276,UjFypMSE,2,2,5,Very informative.,2024-10-07T15:07:42.742969
Uapwkw1s,7,280,LSm11P22,3,4,2,Great course!,2024-10-07T15:07:42.742969
zx5nCnen,6,287,2s7aAndx,2,1,5,Very informative.,2024-10-07T15:07:42.742969
rAW3TdBf,10,72,MU2pm2sF,3,3,2,Very informative.,2024-10-07T15:07:42.742969
nJhYOBUq,19,60,Opz880iU,5,2,1,Very informative.,2024-10-07T15:07:42.742969
W8uGvT4S,1,185,5HC2CB2Z,1,2,3,Very informative.,2024-10-07T15:07:42.742969
FVA8Ll6C,16,8,JY36gxSp,4,3,4,Great course!,2024-10-07T15:07:42.742969
dUI4ZdnP,17,244,39n39eON,4,5,5,Great course!,2024-10-07T15:07:42.742969
jyTJXXIZ,6,234,XtiKmjyd,2,4,3,Could be better.,2024-10-07T15:07:42.742969
NAc614I0,11,22,wXT6jYbc,1,2,1,Great course!,2024-10-07T15:07:42.742969
0TQmq5ej,3,271,nYRIKv5X,3,4,1,Great course!,2024-10-07T15:07:42.742969
ouh9GYkR,12,218,b62pKfoP,5,1,1,Very informative.,2024-10-07T15:07:42.742969
BWsHD6Fn,10,138,6HohqQy2,5,5,1,Could be better.,2024-10-07T15:07:42.742969
JxbqbVvb,14,99,gAgAYlN1,2,2,5,Very informative.,2024-10-07T15:07:42.742969
YAVsQiMy,19,180,lI1bWvdq,5,3,2,Could be better.,2024-10-07T15:07:42.742969
wbTv4P9O,2,128,1p9arZAJ,2,3,1,Could be better.,2024-10-07T15:07:42.742969
shbaDgkV,7,105,RZ7cihJx,1,3,5,Very informative.,2024-10-07T15:07:42.742969
BwEGUxB2,19,293,k6r2vkTu,2,2,3,Could be better.,2024-10-07T15:07:42.742969
ObiWW046,7,196,ASvK7fCz,3,2,3,Could be better.,2024-10-07T15:07:42.742969
IuBo4RRn,3,96,X4WGuGe4,1,3,3,Great course!,2024-10-07T15:07:42.742969
DF6tkZQa,13,116,caWcxDBs,2,4,5,Very informative.,2024-10-07T15:07:42.742969
75mNP6jL,8,161,WGQnQqW3,5,5,1,Could be better.,2024-10-07T15:07:42.743967
5rYxGDLz,2,9,flWoeMDN,1,5,4,Could be better.,2024-10-07T15:07:42.743967
jB46GzCs,11,248,JxWHzqff,2,3,5,Great course!,2024-10-07T15:07:42.743967
WSq0RSy0,4,16,KuBWisDH,1,3,2,Very informative.,2024-10-07T15:07:42.743967
axImQQQG,19,54,Xt1hrtxS,4,5,2,Could be better.,2024-10-07T15:07:42.743967
RpMr5ssd,5,127,HbcNU0sR,1,3,2,Very informative.,2024-10-07T15:07:42.743967
JD64sFHr,9,93,Ujf78cHa,2,2,5,Could be better.,2024-10-07T15:07:42.743967
ovAHKt17,4,250,lBCK3yIy,5,5,3,Very informative.,2024-10-07T15:07:42.743967
q57VSzPs,20,237,58hBrhaw,2,2,3,Very informative.,2024-10-07T15:07:42.743967
2OD9q2vG,4,129,IbSq8LYM,3,5,5,Very informative.,2024-10-07T15:07:42.743967
zbwDJBxL,2,122,VJxdwMSU,1,4,5,Could be better.,2024-10-07T15:07:42.743967
bxnFkxkS,9,104,VoX521Jk,3,5,4,Very informative.,2024-10-07T15:07:42.743967
qYXfW8TH,14,138,U9q1U0FC,3,3,3,Very informative.,2024-10-07T15:07:42.743967
IubqvF2W,16,271,B1g0LK0V,4,1,2,Great course!,2024-10-07T15:07:42.743967
b7jg5fFb,11,158,6ht0XOsX,1,2,3,Great course!,2024-10-07T15:07:42.743967
pWtvlKQb,5,272,rqbqE1T8,3,3,5,Great course!,2024-10-07T15:07:42.743967
qqLgW2kR,6,279,8CimvsWz,4,1,3,Very informative.,2024-10-07T15:07:42.743967
iMoBo7a8,17,227,kOE6RJTY,3,4,1,Could be better.,2024-10-07T15:07:42.743967
ZGWiBngj,1,110,eW2bjMXa,3,3,5,Very informative.,2024-10-07T15:07:42.743967
gUOisT4I,13,86,EMl6Vcpi,3,5,3,Could be better.,2024-10-07T15:07:42.743967
XJLILPpL,6,129,ueNkEBbC,1,4,3,Could be better.,2024-10-07T15:07:42.743967
Q2n3kEF3,7,25,eFEJjZqA,3,4,5,Very informative.,2024-10-07T15:07:42.744967
lZQ4NVR1,8,262,OZB9Vp5g,1,3,1,Very informative.,2024-10-07T15:07:42.744967
cD3MSLPC,19,95,nQiy4jq6,2,3,1,Could be better.,2024-10-07T15:07:42.744967
W3WfsSHV,5,236,ACtscF6M,5,5,3,Could be better.,2024-10-07T15:07:42.744967
gnAtaNBp,15,73,LchouYm0,5,3,4,Very informative.,2024-10-07T15:07:42.744967
2yBCrCLJ,14,187,H86ICLIT,1,1,1,Could be better.,2024-10-07T15:07:42.744967
5oHLx26J,10,268,SMfBsxxM,1,5,2,Great course!,2024-10-07T15:07:42.744967
LL2DpIbL,1,126,TtFzTKgQ,2,5,3,Could be better.,2024-10-07T15:07:42.744967
8ffsoOQL,3,158,9LQAVkk2,4,3,3,Very informative.,2024-10-07T15:07:42.744967
LgfIuwLK,3,214,1igZkOBW,5,4,3,Could be better.,2024-10-07T15:07:42.744967
mise2sQ0,14,41,3qZ9ovMC,5,2,2,Could be better.,2024-10-07T15:07:42.744967
0643xao6,15,110,PnXJrGBH,4,5,2,Very informative.,2024-10-07T15:07:42.744967
10f5tNIg,12,5,M1fdz0jG,3,3,2,Could be better.,2024-10-07T15:07:42.744967
VmWt6xKw,14,139,uy9eRXFL,2,5,5,Great course!,2024-10-07T15:07:42.744967
H10OBF4f,16,61,iBKL4hKh,2,3,5,Could be better.,2024-10-07T15:07:42.744967
XFWYYzvV,9,165,qt96Llkn,3,1,3,Great course!,2024-10-07T15:07:42.744967
V14abOqS,2,84,gBCXr2ZU,4,1,5,Very informative.,2024-10-07T15:07:42.744967
7vQwZi8q,3,265,GpPQNfiy,5,1,1,Great course!,2024-10-07T15:07:42.744967
d83Oozg5,8,45,ichbUnYi,1,2,4,Could be better.,2024-10-07T15:07:42.744967
TX4CQjGs,11,51,mYyLjCeU,2,3,2,Very informative.,2024-10-07T15:07:42.744967
Pla2lQKO,1,246,LKQurMrm,2,2,1,Very informative.,2024-10-07T15:07:42.744967
txPvUzaZ,20,75,S9b5iQPo,1,5,5,Very informative.,2024-10-07T15:07:42.744967
dJyyAp32,17,204,uUpI9Gie,3,4,2,Great course!,2024-10-07T15:07:42.744967
399ujhFs,17,299,Hqhe83u3,4,1,1,Very informative.,2024-10-07T15:07:42.745967
fbZYrYJA,20,29,OsoBsrA5,3,4,4,Could be better.,2024-10-07T15:07:42.745967
c57p4T5d,5,151,PF95Ksdx,1,1,3,Great course!,2024-10-07T15:07:42.745967
1kjKmK8b,7,33,WjvwmZMf,5,1,4,Very informative.,2024-10-07T15:07:42.745967
p9U9Ii5W,10,60,Ef03oLSX,1,2,1,Could be better.,2024-10-07T15:07:42.745967
