quizId,userId,courseId,enrollmentId,totalScore,obtainedScore,date
geZDcEVf,130,13,3AStlgcU,100,72,2024-10-07T15:07:42.739930
uKsA0JGS,172,18,E2UsVdTq,100,15,2024-10-07T15:07:42.739930
6UmT7Imw,246,20,tmdGzFZb,100,26,2024-10-07T15:07:42.739930
K0oGn9b4,135,12,Gs0zOMyg,100,16,2024-10-07T15:07:42.739930
GwaNiBIx,126,17,N8sqpKOE,100,87,2024-10-07T15:07:42.739930
NBrIlUtw,85,7,xpWP3h5H,100,67,2024-10-07T15:07:42.739930
BUe1J8Nr,165,13,vml9xj0E,100,24,2024-10-07T15:07:42.739930
eGMy4HCA,240,15,9Gkqcrwr,100,7,2024-10-07T15:07:42.739930
1WBDi13H,41,10,qN7Vw1Pf,100,20,2024-10-07T15:07:42.739930
AYDY3Hgd,192,8,BDWRcnuy,100,71,2024-10-07T15:07:42.739930
SsxwrBbo,92,8,6cFVAYZZ,100,71,2024-10-07T15:07:42.739930
iJ1f1rcz,255,15,ULGhADx0,100,63,2024-10-07T15:07:42.739930
vdu9iPxd,28,15,4zaaVlTJ,100,45,2024-10-07T15:07:42.739930
mJ8izKKn,178,11,6pfsa8Tk,100,29,2024-10-07T15:07:42.739930
B61mZcdJ,167,14,Vxmn2v2T,100,89,2024-10-07T15:07:42.740932
Gdg7CMuw,80,18,G4sQfxvW,100,15,2024-10-07T15:07:42.740932
p6SUI4it,136,19,2KVGmG1d,100,54,2024-10-07T15:07:42.740932
RcZqNYMj,184,15,JNJapjkf,100,82,2024-10-07T15:07:42.740932
YS5O594X,198,15,iqrpKSij,100,11,2024-10-07T15:07:42.740932
ypuG9E52,166,9,guHi9V8M,100,17,2024-10-07T15:07:42.740932
HpZoi4e4,70,3,1Cp32IhU,100,76,2024-10-07T15:07:42.740932
4Qt44cPp,237,16,M2EWH1It,100,33,2024-10-07T15:07:42.740932
KktxEPHn,155,1,oWCMSfLl,100,96,2024-10-07T15:07:42.740932
Tuo9HamC,246,2,uOUCxoeI,100,86,2024-10-07T15:07:42.740932
Kfb2E13W,291,11,orhMJTer,100,73,2024-10-07T15:07:42.740932
1UO2JKBV,105,20,jIGPVVaK,100,32,2024-10-07T15:07:42.740932
NYJqQxfa,218,8,tkoUCGT4,100,25,2024-10-07T15:07:42.740932
DwmC6ccg,128,11,R7TOURoe,100,61,2024-10-07T15:07:42.740932
xBdOmnSX,41,2,AoRMVjut,100,39,2024-10-07T15:07:42.740932
OEBMMoLL,95,17,enWKE7gU,100,67,2024-10-07T15:07:42.740932
lnKGVxay,25,20,iZBXeYKH,100,85,2024-10-07T15:07:42.740932
TFJwKWhr,254,17,LFEov1uD,100,24,2024-10-07T15:07:42.740932
0LMUyz30,70,1,ORS4Ma3E,100,45,2024-10-07T15:07:42.740932
4TUF1upk,221,6,xIEMYA9I,100,25,2024-10-07T15:07:42.740932
Ib2Hg7xQ,40,10,qUwnb5rQ,100,77,2024-10-07T15:07:42.740932
WLgmwLQj,237,6,dpUUH9jL,100,43,2024-10-07T15:07:42.740932
ssBYC6E1,178,8,eqEwqwof,100,44,2024-10-07T15:07:42.740932
D9UmTvH6,71,4,3jrlA38U,100,95,2024-10-07T15:07:42.740932
6zXuhCAX,93,12,nzY4qLuL,100,22,2024-10-07T15:07:42.740932
kuJnBmT7,298,9,zx7YA5RX,100,4,2024-10-07T15:07:42.740932
jpMQWNRi,267,18,eHqCjqcE,100,38,2024-10-07T15:07:42.740932
ZTaoAQlL,43,18,ItfMggv4,100,93,2024-10-07T15:07:42.741930
N8ToEZFs,39,10,XCDx33NA,100,100,2024-10-07T15:07:42.741930
ZahYh2fk,153,7,hLoZlkIU,100,47,2024-10-07T15:07:42.741930
FgNaFtMc,124,16,rx3zuKCb,100,86,2024-10-07T15:07:42.741930
6ExXokLw,288,1,n8cTROOT,100,95,2024-10-07T15:07:42.741930
Zj3cyrsK,14,7,RKOhS4Yq,100,1,2024-10-07T15:07:42.741930
y5UvxSjb,13,17,auMaT1uW,100,56,2024-10-07T15:07:42.741930
Aa11DQbf,25,1,UTw2BgnR,100,0,2024-10-07T15:07:42.741930
bGfOX9dW,194,11,U53Ivlv1,100,0,2024-10-07T15:07:42.741930
aYjc4f4N,283,13,91WomRBZ,100,82,2024-10-07T15:07:42.741930
iD6xrq0X,28,1,lTPkFMAi,100,75,2024-10-07T15:07:42.741930
COQjueuI,234,18,p5nCHboI,100,13,2024-10-07T15:07:42.741930
uZd3a4Vy,34,12,Q3Vcu0wx,100,0,2024-10-07T15:07:42.741930
mCGV6uzq,14,6,PLPBqBs9,100,4,2024-10-07T15:07:42.741930
XEzjjWWU,193,4,bWtmAjMv,100,99,2024-10-07T15:07:42.741930
a0KKPFUu,170,13,LN5GbP1c,100,83,2024-10-07T15:07:42.741930
sSyoyM32,106,1,c7iSRHre,100,100,2024-10-07T15:07:42.741930
R09XdMdn,184,10,0OMKjNvN,100,97,2024-10-07T15:07:42.741930
hdSR9zlv,292,1,zgXBId57,100,17,2024-10-07T15:07:42.741930
dtIFActs,290,6,pOh35SSp,100,52,2024-10-07T15:07:42.742969
z7Zdmkzb,142,11,dOg365Sg,100,43,2024-10-07T15:07:42.742969
znQ5LDyr,224,7,cP9MCYQk,100,0,2024-10-07T15:07:42.742969
cKK8mwWZ,293,8,CJCrmagG,100,82,2024-10-07T15:07:42.742969
CdvRKM3L,194,17,zxxQzJqg,100,54,2024-10-07T15:07:42.742969
0m6Fhjwi,276,3,UjFypMSE,100,34,2024-10-07T15:07:42.742969
PVuVoLQS,203,8,d098OEhv,100,50,2024-10-07T15:07:42.742969
o1L0wTZz,280,7,LSm11P22,100,47,2024-10-07T15:07:42.742969
KY99WZ8K,184,3,81INQoKZ,100,38,2024-10-07T15:07:42.742969
k1aTspM9,130,11,l5vOBTDc,100,15,2024-10-07T15:07:42.742969
gXlZwiVA,60,19,Opz880iU,100,4,2024-10-07T15:07:42.742969
BwNSM7Go,69,10,uarbjfSf,100,17,2024-10-07T15:07:42.742969
y9ipeBds,8,16,JY36gxSp,100,9,2024-10-07T15:07:42.742969
MwhQB9tX,244,17,39n39eON,100,67,2024-10-07T15:07:42.742969
rieBQ4dC,234,6,XtiKmjyd,100,37,2024-10-07T15:07:42.742969
g0bcopqr,271,3,nYRIKv5X,100,20,2024-10-07T15:07:42.742969
vLyDqBtQ,218,12,b62pKfoP,100,74,2024-10-07T15:07:42.742969
HiGVknXl,99,14,gAgAYlN1,100,96,2024-10-07T15:07:42.742969
6qSIUYpF,105,7,RZ7cihJx,100,0,2024-10-07T15:07:42.742969
jx30Jl2W,293,19,k6r2vkTu,100,58,2024-10-07T15:07:42.742969
JjLbVKZi,263,1,Kxm71aPo,100,100,2024-10-07T15:07:42.742969
BoWr40AT,96,3,X4WGuGe4,100,13,2024-10-07T15:07:42.742969
o9vPyBSP,211,18,PQIxGyXd,100,45,2024-10-07T15:07:42.742969
82huQKYF,161,8,WGQnQqW3,100,82,2024-10-07T15:07:42.743967
LCbh3jDL,108,3,FVHrgS9t,100,72,2024-10-07T15:07:42.743967
WPK9HkuY,248,11,JxWHzqff,100,3,2024-10-07T15:07:42.743967
o1HGwq2p,54,19,Xt1hrtxS,100,25,2024-10-07T15:07:42.743967
3tIaIBnb,127,5,HbcNU0sR,100,57,2024-10-07T15:07:42.743967
7AZBZYh6,93,9,Ujf78cHa,100,5,2024-10-07T15:07:42.743967
bztTyirk,216,14,5WHdYQhO,100,36,2024-10-07T15:07:42.743967
PuGnBddX,250,4,lBCK3yIy,100,40,2024-10-07T15:07:42.743967
vIz5AooX,53,9,3H1cH5Ad,100,32,2024-10-07T15:07:42.743967
XUZEWbGm,235,16,oFSVyrnz,100,88,2024-10-07T15:07:42.743967
KdC2nmUh,129,4,IbSq8LYM,100,31,2024-10-07T15:07:42.743967
3jxqUdEA,103,2,OC1YAALa,100,36,2024-10-07T15:07:42.743967
3BCYIi3F,122,2,VJxdwMSU,100,27,2024-10-07T15:07:42.743967
zbxowcFT,104,9,VoX521Jk,100,95,2024-10-07T15:07:42.743967
Lkn8s1AI,271,16,B1g0LK0V,100,36,2024-10-07T15:07:42.743967
necEpFdB,154,1,NtiZggBF,100,6,2024-10-07T15:07:42.743967
nLJXZEZ5,146,5,tiZN1RWh,100,7,2024-10-07T15:07:42.743967
9ML5FXDD,279,6,8CimvsWz,100,16,2024-10-07T15:07:42.743967
oI38KBM7,6,8,DiZfqjfa,100,56,2024-10-07T15:07:42.743967
dzJjwiZB,158,13,UwY9Nmfc,100,90,2024-10-07T15:07:42.743967
t3GiuufO,227,17,kOE6RJTY,100,79,2024-10-07T15:07:42.743967
uDYtHgha,231,1,LsFmDFYh,100,78,2024-10-07T15:07:42.743967
9cWFXU85,86,13,EMl6Vcpi,100,35,2024-10-07T15:07:42.743967
72XW4bq2,129,6,ueNkEBbC,100,1,2024-10-07T15:07:42.743967
cZOi980g,61,18,aaTokOXf,100,47,2024-10-07T15:07:42.743967
GP9kdOPN,262,8,OZB9Vp5g,100,17,2024-10-07T15:07:42.744967
ZgvW9ipI,236,5,ACtscF6M,100,14,2024-10-07T15:07:42.744967
4VsiNki2,112,11,0KXzvtur,100,50,2024-10-07T15:07:42.744967
1TJlymQu,73,15,LchouYm0,100,43,2024-10-07T15:07:42.744967
m8R5HPYv,24,9,jN7QCsnv,100,59,2024-10-07T15:07:42.744967
9m90Hg6a,288,14,r2rRHNw4,100,12,2024-10-07T15:07:42.744967
rUOU6aYW,217,16,DLpQRIiY,100,79,2024-10-07T15:07:42.744967
HxUaia5j,61,20,IpdEsyye,100,55,2024-10-07T15:07:42.744967
5he0brpl,158,3,9LQAVkk2,100,74,2024-10-07T15:07:42.744967
tPhCRfoU,214,3,1igZkOBW,100,43,2024-10-07T15:07:42.744967
8XPMVhdH,41,14,3qZ9ovMC,100,20,2024-10-07T15:07:42.744967
uDgJ9Ot2,110,15,PnXJrGBH,100,27,2024-10-07T15:07:42.744967
ZkXBhYPD,84,2,gBCXr2ZU,100,32,2024-10-07T15:07:42.744967
xJu6pCkd,144,3,51vpEANP,100,11,2024-10-07T15:07:42.744967
ghKRiZgl,110,20,D4YTvKed,100,60,2024-10-07T15:07:42.744967
sgUIlv9S,188,3,m7rrXhvB,100,100,2024-10-07T15:07:42.744967
XsR1fQRM,5,7,Td1JEkDE,100,72,2024-10-07T15:07:42.744967
FexfKwVO,265,3,GpPQNfiy,100,36,2024-10-07T15:07:42.744967
pLXsS6CA,51,11,mYyLjCeU,100,70,2024-10-07T15:07:42.744967
yr5D8Cxd,85,18,mDByQ3B1,100,74,2024-10-07T15:07:42.745967
3bZJV7CW,264,7,fyp0XlrD,100,2,2024-10-07T15:07:42.745967
vJPUtamg,299,17,Hqhe83u3,100,69,2024-10-07T15:07:42.745967
fBgIhvhD,21,6,fTioxYfB,100,100,2024-10-07T15:07:42.745967
Vctnq6pC,287,5,0e8W5GKI,100,17,2024-10-07T15:07:42.745967
nCYF7pBp,72,18,zcGThGBZ,100,81,2024-10-07T15:07:42.745967
2EYl8mIw,82,17,NsO76VWu,100,4,2024-10-07T15:07:42.745967
HZMhj6Np,114,10,LL9P3UNd,100,90,2024-10-07T15:07:42.745967
phmNQSUP,223,15,iJqzLo3q,100,12,2024-10-07T15:07:42.745967
jA2qSwaH,107,19,8HpdIBiz,100,92,2024-10-07T15:07:42.745967
ulyvdSf0,289,12,tmuUbBZr,100,19,2024-10-07T15:07:42.745967
