userId,enrollmentId,courseId,enrolledAt,progress,completed,totalCount,completedCount,isQuizTaken,isParticipated,isFeedback,engagement
158,rQS0kpxX,16,2024-10-07,71,False,9,8,False,True,True,0
130,3AStlgcU,13,2024-10-07,76,False,9,7,True,True,False,0
172,E2UsVdTq,18,2024-10-07,14,False,10,8,True,True,False,0
271,fh9DWDHa,13,2024-10-07,60,False,11,10,False,True,True,1
246,tmdGzFZb,20,2024-10-07,30,False,17,4,True,True,False,1
133,JXOgeRSC,7,2024-10-07,53,False,7,5,False,False,False,1
297,ZelKutIJ,13,2024-10-07,16,False,11,1,False,False,True,1
203,MjVxsjJT,20,2024-10-07,76,False,13,1,False,False,False,1
135,Gs0zOMyg,12,2024-10-07,11,False,20,17,True,True,False,0
246,9QSHBxnK,8,2024-10-07,14,False,12,10,False,False,False,0
126,N8sqpKOE,17,2024-10-07,84,False,8,6,True,True,False,0
85,xpWP3h5H,7,2024-10-07,63,False,20,16,True,True,False,1
111,YA9AAvgy,18,2024-10-07,74,False,8,6,False,False,False,0
143,Rh4AZ9uM,7,2024-10-07,62,False,16,2,False,True,True,0
107,RmyjsCVX,20,2024-10-07,87,False,16,6,False,True,True,1
165,vml9xj0E,13,2024-10-07,22,False,6,2,True,False,True,0
79,WD8qP7Xv,14,2024-10-07,4,False,5,1,False,False,False,0
240,9Gkqcrwr,15,2024-10-07,2,False,6,5,True,True,False,1
110,9mGXbzXq,12,2024-10-07,85,False,16,15,False,False,True,1
112,kqSlrt1x,12,2024-10-07,99,False,15,12,False,False,False,1
41,qN7Vw1Pf,10,2024-10-07,24,False,5,2,True,False,True,0
264,19ICnhgt,12,2024-10-07,60,False,10,0,False,True,True,1
16,3gYtfW4O,8,2024-10-07,88,False,17,12,False,False,False,1
296,Cjvnp9zv,9,2024-10-07,82,False,18,10,False,True,False,0
36,3bo0bYgo,17,2024-10-07,2,False,13,8,False,True,True,0
281,5d6i44YQ,3,2024-10-07,78,False,16,9,False,False,False,0
107,TjemKZtb,2,2024-10-07,44,False,12,7,False,True,True,1
97,WUG8sGnV,11,2024-10-07,62,False,8,7,False,True,False,1
192,BDWRcnuy,8,2024-10-07,68,False,17,9,True,False,True,0
155,O8cYGtMp,6,2024-10-07,98,False,17,8,False,False,False,1
92,6cFVAYZZ,8,2024-10-07,72,False,5,4,True,True,False,1
262,iizdD8tV,9,2024-10-07,62,False,14,8,False,False,False,1
109,fqS6E87h,16,2024-10-07,46,False,10,4,False,False,True,0
71,IIfnfrcA,12,2024-10-07,27,False,16,14,False,False,False,1
287,mnMC8lUS,13,2024-10-07,10,False,9,2,False,False,True,1
13,j1MOiQtL,8,2024-10-07,91,False,15,0,False,True,False,1
186,jmRSRy3K,17,2024-10-07,74,False,17,1,False,True,True,1
20,CwhwAsxq,5,2024-10-07,53,False,10,3,False,True,False,1
255,ULGhADx0,15,2024-10-07,61,False,5,0,True,True,True,1
190,ByYnmrfV,5,2024-10-07,81,False,14,5,False,True,False,0
28,4zaaVlTJ,15,2024-10-07,41,False,7,0,True,False,True,0
98,4BLnY9UO,8,2024-10-07,5,False,8,7,False,False,False,0
255,fQnxnjlh,19,2024-10-07,81,False,5,1,False,True,True,0
178,6pfsa8Tk,11,2024-10-07,25,False,9,2,True,True,True,1
167,Vxmn2v2T,14,2024-10-07,90,False,8,3,True,False,False,0
80,G4sQfxvW,18,2024-10-07,17,False,16,14,True,False,True,1
293,Pxwz3QBT,20,2024-10-07,0,False,5,2,False,False,True,0
136,2KVGmG1d,19,2024-10-07,49,False,11,4,True,True,False,0
184,JNJapjkf,15,2024-10-07,86,False,17,8,True,True,False,1
168,TIqiBoBH,8,2024-10-07,88,False,17,15,False,False,False,0
198,iqrpKSij,15,2024-10-07,6,False,13,0,True,True,True,1
166,guHi9V8M,9,2024-10-07,20,False,6,4,True,True,True,1
70,1Cp32IhU,3,2024-10-07,80,False,19,17,True,True,True,1
237,M2EWH1It,16,2024-10-07,30,False,10,6,True,True,False,0
196,X6sJTUx6,19,2024-10-07,64,False,19,0,False,False,True,1
155,oWCMSfLl,1,2024-10-07,94,False,16,0,True,True,True,1
246,uOUCxoeI,2,2024-10-07,84,False,12,9,True,True,True,1
291,orhMJTer,11,2024-10-07,68,False,7,1,True,False,True,1
105,jIGPVVaK,20,2024-10-07,30,False,9,1,True,True,True,1
218,tkoUCGT4,8,2024-10-07,30,False,20,5,True,True,True,1
128,R7TOURoe,11,2024-10-07,65,False,15,0,True,True,False,0
217,cYHswH4x,4,2024-10-07,93,False,19,17,False,False,False,1
155,dYq7vq01,9,2024-10-07,55,False,5,2,False,True,True,1
1,RLpjoQ2M,17,2024-10-07,35,False,5,2,False,False,False,1
41,AoRMVjut,2,2024-10-07,41,False,6,3,True,True,True,1
231,ZukTUQbN,3,2024-10-07,44,False,20,10,False,False,True,0
235,nubqDuzq,13,2024-10-07,68,False,20,12,False,False,True,0
95,enWKE7gU,17,2024-10-07,70,False,10,6,True,True,True,1
25,iZBXeYKH,20,2024-10-07,83,False,6,0,True,False,False,1
273,V7uDNupw,2,2024-10-07,70,False,16,9,False,True,True,1
254,LFEov1uD,17,2024-10-07,20,False,17,3,True,True,True,1
70,ORS4Ma3E,1,2024-10-07,45,False,19,11,True,True,True,1
221,xIEMYA9I,6,2024-10-07,28,False,7,4,True,True,False,0
151,iCmSvUxY,9,2024-10-07,79,False,12,6,False,False,False,1
40,qUwnb5rQ,10,2024-10-07,75,False,13,12,True,True,False,0
237,dpUUH9jL,6,2024-10-07,43,False,12,4,True,False,False,1
178,eqEwqwof,8,2024-10-07,41,False,13,11,True,False,True,1
71,3jrlA38U,4,2024-10-07,92,False,13,3,True,False,False,1
93,nzY4qLuL,12,2024-10-07,17,False,8,0,True,True,True,1
214,VNDtYUCM,20,2024-10-07,24,False,13,4,False,False,True,0
298,zx7YA5RX,9,2024-10-07,6,False,5,0,True,False,True,0
267,eHqCjqcE,18,2024-10-07,33,False,8,1,True,False,True,1
193,sZJ21OEv,20,2024-10-07,12,False,10,3,False,False,False,1
136,Ive5TLET,18,2024-10-07,28,False,10,1,False,False,True,0
43,ItfMggv4,18,2024-10-07,90,False,10,3,True,False,True,1
244,9IpuOkTT,11,2024-10-07,27,False,11,2,False,False,False,1
39,XCDx33NA,10,2024-10-07,98,False,6,1,True,True,True,1
266,qgysCupc,3,2024-10-07,41,False,20,16,False,False,False,1
153,hLoZlkIU,7,2024-10-07,45,False,15,12,True,True,False,1
124,rx3zuKCb,16,2024-10-07,83,False,17,5,True,False,True,0
288,n8cTROOT,1,2024-10-07,91,False,9,0,True,True,False,1
14,RKOhS4Yq,7,2024-10-07,3,False,13,12,True,True,False,1
13,auMaT1uW,17,2024-10-07,53,False,5,2,True,False,False,1
101,6tP4Cp8v,11,2024-10-07,46,False,5,4,False,True,True,1
28,Um1r6wNc,6,2024-10-07,62,False,7,4,False,True,False,1
25,UTw2BgnR,1,2024-10-07,3,False,18,1,True,False,False,1
194,U53Ivlv1,11,2024-10-07,3,False,19,7,True,False,True,0
200,FUtYaicV,18,2024-10-07,47,False,17,0,False,False,False,0
283,91WomRBZ,13,2024-10-07,87,False,11,5,True,False,True,1
35,96J3nf2E,7,2024-10-07,92,False,6,0,False,False,True,0
28,lTPkFMAi,1,2024-10-07,70,False,20,9,True,True,False,0
234,p5nCHboI,18,2024-10-07,9,False,12,0,True,False,False,1
259,FYLuFwKF,2,2024-10-07,45,False,6,1,False,True,True,0
98,mZ8Cc4vC,7,2024-10-07,92,False,8,6,False,False,False,0
121,gGovRCIL,8,2024-10-07,59,False,20,16,False,False,False,0
125,fdjpeGwb,18,2024-10-07,8,False,16,10,False,True,True,0
244,FL2pshmh,15,2024-10-07,74,False,13,0,False,False,True,1
34,Q3Vcu0wx,12,2024-10-07,2,False,8,4,True,False,True,0
224,5QW37WDM,17,2024-10-07,16,False,13,0,False,False,False,1
242,70zccHAg,12,2024-10-07,60,False,19,15,False,True,True,0
78,INMyjjby,15,2024-10-07,45,False,12,8,False,False,False,1
196,goThjU8I,17,2024-10-07,57,False,19,11,False,True,True,1
14,PLPBqBs9,6,2024-10-07,4,False,7,3,True,False,False,1
76,AY4boFA7,4,2024-10-07,55,False,19,12,False,False,True,0
161,tlPcxMhD,11,2024-10-07,84,False,15,10,False,True,True,1
193,bWtmAjMv,4,2024-10-07,94,False,16,6,True,False,False,1
115,ETEZ02BB,7,2024-10-07,6,False,20,18,False,True,False,0
118,W8AZBWHG,8,2024-10-07,98,False,8,3,False,True,False,0
254,1s9SFJw4,13,2024-10-07,12,False,9,8,False,False,True,0
170,LN5GbP1c,13,2024-10-07,81,False,18,16,True,True,False,0
187,qp270XDP,13,2024-10-07,5,False,19,1,False,True,True,1
18,wInUjIF5,1,2024-10-07,97,False,20,18,False,False,False,0
